t,x,y,z,yaw
1788515950.907074,0.049514,-0.030230,0.000000,0.001756
1788515950.974749,0.049430,-0.030282,0.000000,0.002183
1788515951.038043,0.049202,-0.030917,0.000000,0.002211
1788515951.105599,0.049533,-0.029861,0.000000,0.001491
1788515951.173699,0.049441,-0.030204,0.000000,0.002300
1788515951.240945,0.049466,-0.030375,0.000000,0.002202
1788515951.304528,0.049353,-0.030501,0.000000,0.002009
1788515951.371874,0.049505,-0.030777,0.000000,0.001846
1788515951.439576,0.049772,-0.030318,0.000000,0.001419
1788515951.503060,0.049635,-0.030311,0.000000,0.001647
1788515951.570812,0.049856,-0.030103,0.000000,0.001647
1788515951.638500,0.050111,-0.030328,0.000000,0.001647
1788515951.705982,0.050228,-0.029397,0.000000,0.001647
1788515951.769592,0.050086,-0.029863,0.000000,0.001647
1788515951.837070,0.050344,-0.029842,0.000000,0.001647
1788515951.904788,0.050296,-0.029465,0.000000,0.001647
1788515951.969280,0.050990,-0.029170,0.000000,0.001647
1788515952.035846,0.050463,-0.029543,0.000000,0.001647
1788515952.103630,0.050408,-0.030510,0.000000,0.001647
1788515952.171054,0.050618,-0.029391,0.000000,0.000658
1788515952.234560,0.050821,-0.029273,0.000000,0.000658
1788515952.302192,0.050920,-0.029174,0.000000,0.000658
1788515952.370093,0.050854,-0.029359,0.000000,0.000658
1788515952.437950,0.050791,-0.029459,0.000000,0.000658
1788515952.505508,0.050513,-0.030089,0.000000,0.000658
1788515952.568951,0.050679,-0.029670,0.000000,0.002408
1788515952.636572,0.050587,-0.030362,0.000000,0.002376
1788515952.704058,0.050683,-0.030281,0.000000,0.001980
1788515952.771857,0.050222,-0.031023,0.000000,0.002069
1788515952.835742,0.050227,-0.030857,0.000000,0.002018
1788515952.902667,0.050592,-0.030832,0.000000,0.002018
1788515952.970361,0.050754,-0.030636,0.000000,0.002018
1788515953.037959,0.050049,-0.030744,0.000000,0.002018
1788515953.101501,0.050128,-0.030667,0.000000,0.002018
1788515953.169127,0.050270,-0.030983,0.000000,0.001864
1788515953.240203,0.050033,-0.030346,0.000000,0.002092
1788515953.301031,0.050140,-0.031086,0.000000,0.002466
1788515953.368486,0.050288,-0.030684,0.000000,0.001878
1788515953.436125,0.050207,-0.030417,0.000000,0.001878
1788515953.503267,0.050037,-0.030532,0.000000,0.001878
1788515953.568908,0.050397,-0.030359,0.000000,0.001878
1788515953.634318,0.050331,-0.030280,0.000000,0.001878
1788515953.704403,0.050105,-0.030232,0.000000,0.001878
1788515953.765419,0.050416,-0.031095,0.000000,0.001878
1788515953.833078,0.050277,-0.030839,0.000000,0.001888
1788515953.901192,0.050207,-0.031295,0.000000,0.002429
