t,x,y,z,yaw
1788516072.214751,1.385496,0.888136,0.615470,-0.070378
1788516072.281739,1.371461,0.885894,0.617226,-0.070822
1788516072.348592,1.366200,0.889028,0.617435,-0.073582
1788516072.415729,1.349961,0.894726,0.617680,-0.075973
1788516072.482780,1.352506,0.914742,0.616764,-0.084957
1788516072.550774,1.356520,0.931929,0.617793,-0.092534
1788516072.616723,1.348262,0.938486,0.617202,-0.096188
1788516072.683823,1.348269,0.939255,0.620899,-0.101272
1788516072.750597,1.348903,0.937058,0.628077,-0.108717
1788516072.817583,1.340772,0.937162,0.625780,-0.121673
1788516072.884444,1.327730,0.938267,0.619996,-0.134785
1788516072.951591,1.332183,0.935950,0.612723,-0.145321
1788516073.018578,1.331706,0.923871,0.609758,-0.149939
1788516073.085568,1.330555,0.908841,0.606868,-0.149440
1788516073.152555,1.332711,0.893082,0.605459,-0.145283
1788516073.219600,1.356936,0.876878,0.607429,-0.141084
1788516073.286415,1.362616,0.861024,0.611310,-0.129556
1788516073.353414,1.365788,0.839482,0.613428,-0.114222
1788516073.420327,1.366037,0.814507,0.613288,-0.098467
1788516073.487380,1.357312,0.786910,0.609381,-0.084496
1788516073.554440,1.356040,0.779806,0.608619,-0.082898
1788516073.621409,1.343346,0.742866,0.603300,-0.072685
1788516073.688421,1.335334,0.704644,0.598701,-0.065655
1788516073.755456,1.328725,0.672956,0.582741,-0.062797
1788516073.822840,1.318628,0.647454,0.573570,-0.064519
1788516073.889342,1.308667,0.630635,0.576322,-0.068638
1788516073.956172,1.308020,0.624865,0.577323,-0.074862
1788516074.023360,1.306593,0.620544,0.581349,-0.077999
1788516074.090778,1.303326,0.611505,0.581150,-0.075734
1788516074.157269,1.297870,0.605842,0.580933,-0.070577
1788516074.224283,1.279957,0.603651,0.571759,-0.063799
1788516074.291270,1.279533,0.607976,0.570882,-0.062222
1788516074.358793,1.271765,0.605782,0.570641,-0.054219
1788516074.425144,1.256863,0.599760,0.570308,-0.045442
1788516074.492022,1.246084,0.593875,0.570677,-0.040220
1788516074.559185,1.241551,0.583451,0.571601,-0.038863
1788516074.626127,1.230479,0.564221,0.573920,-0.039652
1788516074.693074,1.230409,0.560353,0.575454,-0.051915
1788516074.760121,1.229130,0.556047,0.581978,-0.066488
1788516074.827101,1.217298,0.546612,0.582137,-0.085238
1788516074.894833,1.209382,0.538555,0.582548,-0.108018
1788516074.960964,1.199978,0.530389,0.592361,-0.132089
1788516075.027872,1.209942,0.536022,0.603655,-0.163056
1788516075.094929,1.209238,0.543431,0.600614,-0.188091
1788516075.161969,1.206711,0.561272,0.591435,-0.212156
1788516075.228960,1.207790,0.583259,0.587557,-0.230820
1788516075.295960,1.216130,0.604389,0.593853,-0.240901
1788516075.362993,1.229480,0.627748,0.598406,-0.246696
1788516075.429960,1.241799,0.649870,0.604623,-0.247012
1788516075.496857,1.254619,0.667171,0.610254,-0.243425
1788516075.563689,1.263531,0.678024,0.610299,-0.236779
1788516075.630816,1.267007,0.679869,0.609638,-0.227263
1788516075.697843,1.279194,0.705375,0.606419,-0.225971
1788516075.764800,1.291844,0.725417,0.604455,-0.223374
1788516075.831886,1.299068,0.734714,0.604294,-0.217816
1788516075.898783,1.304025,0.734795,0.604157,-0.209217
1788516075.965900,1.313399,0.751318,0.595776,-0.204772
1788516076.032681,1.319861,0.768666,0.592369,-0.197205
1788516076.099558,1.327171,0.784631,0.591839,-0.186782
1788516076.166758,1.340208,0.802829,0.596181,-0.176322
1788516076.233958,1.353528,0.815904,0.602397,-0.163469
1788516076.300869,1.361002,0.830161,0.605875,-0.149280
1788516076.367810,1.367777,0.838749,0.611500,-0.133661
1788516076.434719,1.374646,0.843752,0.613497,-0.119053
1788516076.501627,1.377863,0.844307,0.618602,-0.106262
1788516076.568521,1.381727,0.845034,0.621175,-0.100314
1788516076.635922,1.366090,0.844003,0.612233,-0.095832
1788516076.702420,1.345857,0.831703,0.601843,-0.091286
1788516076.769913,1.342604,0.839592,0.601168,-0.100589
1788516076.836498,1.340489,0.839845,0.601172,-0.105763
1788516076.903525,1.340242,0.844341,0.603000,-0.114846
1788516076.970495,1.340623,0.852179,0.602435,-0.124800
1788516077.037604,1.337375,0.849749,0.601173,-0.126917
1788516077.104597,1.335569,0.843412,0.601219,-0.127465
1788516077.171369,1.334348,0.842235,0.603312,-0.128196
1788516077.238270,1.340204,0.843738,0.609806,-0.129611
1788516077.305361,1.346004,0.850863,0.612757,-0.131922
1788516077.372368,1.344632,0.840473,0.613145,-0.123670
1788516077.439394,1.345061,0.825750,0.614725,-0.115621
1788516077.506777,1.349349,0.816198,0.615698,-0.110650
1788516077.573348,1.358304,0.805174,0.627234,-0.106395
1788516077.640222,1.374515,0.793624,0.639603,-0.103923
1788516077.707314,1.379812,0.775537,0.642386,-0.097537
1788516077.774120,1.369053,0.743324,0.634125,-0.086172
1788516077.841288,1.355413,0.722939,0.629567,-0.083204
1788516077.908221,1.346704,0.703736,0.628554,-0.083182
1788516077.975219,1.351410,0.700442,0.627577,-0.091689
1788516078.042213,1.370372,0.713081,0.626864,-0.110443
1788516078.109199,1.365731,0.678239,0.629422,-0.110815
1788516078.176107,1.356486,0.644157,0.621736,-0.113598
1788516078.243072,1.351671,0.608728,0.625970,-0.116709
1788516078.309931,1.346033,0.581683,0.626817,-0.124015
1788516078.377086,1.338509,0.549201,0.624617,-0.132765
1788516078.444067,1.324743,0.508670,0.618079,-0.139902
1788516078.511084,1.314156,0.467718,0.602144,-0.147636
1788516078.578064,1.303233,0.434089,0.601521,-0.157554
1788516078.645056,1.293268,0.401393,0.602879,-0.166068
1788516078.711927,1.280805,0.368013,0.601955,-0.171751
