t,x,y,z,yaw
1788515956.831485,0.006001,-0.001028,0.000000,-0.005699
1788515956.899016,0.006410,-0.000888,0.000000,-0.005699
1788515956.963952,0.006421,-0.001018,0.000000,-0.006044
1788515957.030522,0.006793,-0.000607,0.000000,-0.005008
1788515957.097811,0.006249,-0.000245,0.000000,-0.006204
1788515957.165588,0.006920,-0.001565,0.000000,-0.005168
1788515957.228926,0.006483,-0.000739,0.000000,-0.005657
1788515957.296618,0.006812,-0.000392,0.000000,-0.004276
1788515957.365866,0.006740,0.000497,0.000000,-0.004276
1788515957.427624,0.006505,-0.000055,0.000000,-0.005121
1788515957.495208,0.006690,0.000357,0.000000,-0.003698
1788515957.562929,0.006558,0.000255,0.000000,-0.005079
1788515957.630690,0.006998,0.000719,0.000000,-0.005079
1788515957.694783,0.006865,0.000844,0.000000,-0.003834
1788515957.762484,0.006256,0.000329,0.000000,-0.003489
1788515957.829569,0.006700,0.000983,0.000000,-0.004912
1788515957.898482,0.005462,0.000522,0.000000,-0.005603
1788515957.960684,0.005943,0.000960,0.000000,-0.004266
1788515958.028156,0.006162,0.001274,0.000000,-0.005411
1788515958.095682,0.006708,0.001024,0.000000,-0.006387
1788515958.163500,0.006487,0.000803,0.000000,-0.005351
1788515958.226834,0.006606,-0.000078,0.000000,-0.006497
1788515958.294781,0.006652,0.000526,0.000000,-0.005351
1788515958.362463,0.007067,-0.000109,0.000000,-0.006197
1788515958.430351,0.006183,-0.000043,0.000000,-0.007043
1788515958.493531,0.006452,-0.000050,0.000000,-0.007043
1788515958.561928,0.007162,0.000514,0.000000,-0.007815
1788515958.629033,0.006745,0.000382,0.000000,-0.006901
1788515958.696516,0.006630,-0.000107,0.000000,-0.005478
1788515958.763943,0.006295,-0.000427,0.000000,-0.006901
1788515958.827621,0.007162,0.000117,0.000000,-0.006413
1788515958.895175,0.007693,-0.000273,0.000000,-0.006068
1788515958.964267,0.007571,-0.000260,0.000000,-0.005723
1788515959.030301,0.008347,0.000250,0.000000,-0.005234
1788515959.093703,0.008239,-0.000049,0.000000,-0.006572
1788515959.161911,0.008039,0.000501,0.000000,-0.006917
1788515959.229186,0.007885,0.000278,0.000000,-0.006917
1788515959.296793,0.007774,0.000168,0.000000,-0.006145
1788515959.360366,0.007331,0.000170,0.000000,-0.007058
1788515959.428303,0.007659,-0.000248,0.000000,-0.006713
1788515959.496390,0.007582,0.000177,0.000000,-0.007805
1788515959.559016,0.007441,0.000144,0.000000,-0.008293
1788515959.626698,0.007778,0.000510,0.000000,-0.008293
1788515959.694331,0.007588,0.000084,0.000000,-0.008638
1788515959.762008,0.007435,-0.000142,0.000000,-0.008638
1788515959.825418,0.007889,0.000699,0.000000,-0.007662
1788515959.893068,0.007849,0.000168,0.000000,-0.006370
1788515959.963263,0.007640,0.000655,0.000000,-0.007952
1788515960.025027,0.007754,0.000564,0.000000,-0.007354
1788515960.092183,0.007704,0.000460,0.000000,-0.008200
1788515960.159708,0.007651,0.000448,0.000000,-0.006863
1788515960.227549,0.006966,0.001035,0.000000,-0.008155
1788515960.290604,0.007528,0.000891,0.000000,-0.008155
1788515960.358139,0.007370,0.001162,0.000000,-0.007809
1788515960.425829,0.007666,0.001310,0.000000,-0.007809
1788515960.493813,0.008069,0.001423,0.000000,-0.009005
1788515960.561242,0.007750,0.000673,0.000000,-0.009005
1788515960.626406,0.007988,0.000755,0.000000,-0.008407
1788515960.692244,0.008131,0.000805,0.000000,-0.008407
1788515960.759937,0.007199,0.000441,0.000000,-0.008753
1788515960.827746,0.007005,0.000749,0.000000,-0.008155
1788515960.891057,0.006908,0.000787,0.000000,-0.007309
1788515960.958665,0.006310,0.001139,0.000000,-0.007654
1788515961.026321,0.006765,0.000357,0.000000,-0.007654
1788515961.094174,0.006551,0.000187,0.000000,-0.007999
1788515961.157773,0.005985,0.000965,0.000000,-0.008771
1788515961.225636,0.005469,0.001288,0.000000,-0.008771
1788515961.293266,0.005746,0.000582,0.000000,-0.009543
1788515961.356324,0.005830,0.000508,0.000000,-0.009543
1788515961.424025,0.006059,0.000246,0.000000,-0.009543
1788515961.491763,0.005542,0.000391,0.000000,-0.010315
1788515961.564882,0.005495,0.000299,0.000000,-0.009970
1788515961.627502,0.005351,0.000634,0.000000,-0.009970
1788515961.696179,0.005419,0.000642,0.000000,-0.009482
1788515961.759858,0.005367,0.000762,0.000000,-0.010254
1788515961.821963,0.005653,0.000384,0.000000,-0.008962
1788515961.889363,0.005524,0.000331,0.000000,-0.008962
1788515961.956686,0.005928,0.000500,0.000000,-0.009653
1788515962.024478,0.005908,0.000248,0.000000,-0.008315
1788515962.092130,0.005575,-0.000691,0.000000,-0.007717
1788515962.156124,0.005905,0.000108,0.000000,-0.009009
1788515962.223016,0.006153,0.000064,0.000000,-0.007318
1788515962.291137,0.005924,0.000432,0.000000,-0.007916
1788515962.359091,0.006142,0.000594,0.000000,-0.008261
1788515962.421742,0.005883,0.000915,0.000000,-0.008261
1788515962.489585,0.006001,0.001074,0.000000,-0.008261
1788515962.557240,0.005984,0.001377,0.000000,-0.009553
1788515962.624861,0.005997,0.000487,0.000000,-0.010890
1788515962.688261,0.005551,0.001101,0.000000,-0.011982
1788515962.756171,0.005668,0.001428,0.000000,-0.010837
1788515962.823610,0.006391,0.001394,0.000000,-0.011982
1788515962.886954,0.006052,0.000747,0.000000,-0.010645
1788515962.954824,0.005969,0.001403,0.000000,-0.010157
1788515963.022259,0.005692,0.000310,0.000000,-0.010645
1788515963.090216,0.006115,0.000618,0.000000,-0.009954
1788515963.153755,0.006714,0.000756,0.000000,-0.010443
1788515963.220953,0.007205,0.000964,0.000000,-0.010443
1788515963.288733,0.006844,0.001339,0.000000,-0.011907
1788515963.352651,0.007570,0.001728,0.000000,-0.011907
1788515963.420089,0.008141,0.001689,0.000000,-0.011419
1788515963.487462,0.007558,0.000922,0.000000,-0.010573
1788515963.555231,0.007659,0.001271,0.000000,-0.011609
1788515963.618642,0.007543,0.000606,0.000000,-0.010633
1788515963.686493,0.007900,0.000709,0.000000,-0.010633
1788515963.753960,0.006993,0.000484,0.000000,-0.009787
1788515963.821677,0.006914,0.000762,0.000000,-0.010823
1788515963.884960,0.007471,0.000566,0.000000,-0.011421
1788515963.952596,0.007290,0.000420,0.000000,-0.010084
1788515964.020497,0.008425,0.000707,0.000000,-0.010084
1788515964.088159,0.008351,0.000533,0.000000,-0.009311
1788515964.156109,0.007774,0.000836,0.000000,-0.009657
1788515964.219201,0.007996,0.001086,0.000000,-0.010902
1788515964.293160,0.008359,0.001159,0.000000,-0.010304
1788515964.354506,0.008170,0.000822,0.000000,-0.008839
1788515964.418034,0.008406,0.001845,0.000000,-0.009184
1788515964.485439,0.007737,0.001403,0.000000,-0.009529
